republic	0.042 208.826 0.066 0.016 0.05
1791_1222	71.362 0.008 49.374 0.098 0.158
47_1249	0.07 0.534 1.888 0.434 0.074
83_27	0.052 0.018 0.084 0.022 28.824
duende	0.068 0.284 0.256 0.252 0.14
smell	56.654 0.228 52.576 0.026 72.516
roll	3.082 341.366 0.014 0.048 0.49
83_23	0.314 0.462 0.19 0.57 0.464
2726	0.054 1.968 7.076 2.89 0.012
rehearsing	0.216 24.56 0.036 0.112 0.076
bowlmor	0.446 0.01 59.404 0.108 0.032
2721	100.738 10.226 6.094 1.328 35.614
2720	97.29 0.04 126.544 83.184 1.942
20_779	0.288 1.218 1.474 2.878 1.142
snowpocalypse	0.964 0.14 106.25 2.934 142.712
devoe	2.3 0.036 59.63 0.024 1.01
2688_2031	0.11 0.296 0.536 0.626 0.432
1627_1303	100.186 0.174 66.406 0.018 0.216
2964_2767	0.052 0.232 0.312 0.238 0.166
mike's	1.048 0.062 81.736 51.57 0.584
packets	0.122 0.312 0.054 5.068 2.444
time	1082.21 2179.87 858.98 1040.13 1774.81
43_1806	66.698 17.554 2.48 0.02 0.248
baybridge	0.002 1.51 1.014 1.462 0.012
corps	0.388 18.562 7.192 25.822 0.036
burritos	0.136 138.656 0.18 0.028 0
2812_2831	0.012 0.544 2.28 0.556 0.608
chair	0.584 0.008 0.42 62.962 0.026
mercadito	0 10.226 32.728 0.032 0.014
ballet	0.156 60.688 0.03 0.104 0.022
caldwell	0.034 0.466 0.282 19.852 87.366
weill	41.124 0.186 0.072 1.448 3.17
20_1563	0.032 0.426 0.288 0.784 0.47
247_2036	0.072 1.05 2.182 0.45 0.246
veterans	90.06 2.824 0.002 2.028 0.086
1243_43	1.62 89.798 0.008 0.076 2.498
icing	0.022 0.028 12.88 0.048 0.022
cheap	0.1 206.978 0.416 2.478 0.028
choice	0.024 181.712 0.022 0.008 42.234
gloomy	0.016 0.038 0.018 0.062 17.866
1303_1325	0.112 24.548 0.428 2.886 0.026
minute	0.364 0.506 19.694 128.786 98.65
2095	0.04 0.026 126.446 13.172 73.316
bateaux	4.868 1.066 0.188 0.08 6.798
1704	0.222 418.18 0.018 23.712 195.868
1705	343.804 0.13 2082.39 112.486 0.19
2128_143	0.048 0.772 0.574 0.602 0.004
tear	0.638 26.17 0.538 0.022 0.632
164_1255	0.122 0.362 0.006 2.412 1.098
17_24	7.014 0.034 0.02 16.666 5.266
17_20	0.008 0.256 87.384 1.004 51.348
subway	695.084 0.554 235.18 0.014 2553.17
hittin	0.948 1.306 0.008 4.07 2.668
team	265.886 469.914 0.002 0.04 0.158
619_1955	0.078 0.1 0.21 1.816 0.796
1145_1856	0.052 45.804 0.03 0.07 0.044
droid	60.396 0.552 23.026 0.006 0.02
occurrence	0.07 0.33 1.176 0.312 0.112
1937_1810	0.12 0.634 0.222 0.78 0.244
sigh	2.748 18.794 4.512 0.87 117.076
martha's	0.108 2.478 21.32 13.918 1.176
raisa	0.432 0.936 1.106 0.156 0.37
sigo	0.086 0.78 0.464 0.432 0.238
raoul's	0 4.568 6.422 0.006 0.004
crescent	0.008 48.768 57.176 2.44 19.608
korothy	0.05 0.232 0.302 0.274 0.142
greenpoint	0.334 0.02 166.15 121.236 0.26
venga	0.102 0.746 0.638 0.338 1.176
1249_1303	1.826 54.646 0.022 0.334 5.172
1108_2117	0.05 0.26 0.3 0.234 0.156
3023	1.124 0.012 101.416 7.126 91.322
melt	0.868 0.706 1.312 45.738 0.376
current	0.122 49.462 0.144 0.012 2.26
ground	138.516 0.026 1.494 205.936 0.028
badge	75.982 0.128 75.628 0.872 14.39
unintentionally	0.19 0.324 0.328 4.15 0.008
zrh	0.07 0.252 0.29 0.248 0.14
2766_2726	0.072 0.244 0.296 0.216 0.172
oldies	0.014 0.096 13.81 0.054 0.026
funeral	17.06 2 0.314 15.624 0.002
2193_2698	3.68 0.334 0.03 8.856 6.1
vanderbilt	3.678 0.022 119.134 268.72 0.446
hunter's	0.004 0.82 0.48 3.684 0.012
upgrade	0.088 0.228 4.012 0.216 61.456
splice	0 0.026 7.906 0.054 0.014
alone	46.826 0.03 62.796 0.576 6.772
along	21.654 0.18 0.204 167.434 7.528
1381_1627	0.014 0.006 0.094 0.072 8.814
driggs	0.06 1.16 240.156 180.62 0.004
balaboosta	0.024 6.352 2.592 0.004 0.028
brilliant	22.904 0.15 37.094 14.284 6.568
woop	0.014 45.86 0.096 0.022 0.008
2917_3054	1.392 0.034 0.006 3.142 0.426
castaways	0.012 0.012 19.954 0.018 0.004
104_1627	7.898 0.066 0.004 0.02 0.012
love	950.032 10.066 1678.49 583.758 403.65
santa	0.186 0.152 0.788 68.826 0.048
1303_1811	33.032 77.876 0.044 0.01 3.038
bloody	0.012 0.08 0.028 242.852 0.028
fake	0.246 68.398 0.248 0.004 1.104
forefront	0.002 0.01 0.026 12.936 0.026
nick's	0.002 86.558 0.37 0.062 0.008
sky	0.072 149.184 0.21 0.082 130.452
working	632.306 0.194 0.428 214.228 321.844
108_1303	39.378 1.462 0.124 0.004 0.032
parsippany	176.738 111.162 0.016 0.03 0.054
papas	0.054 4.728 1.144 0.036 0.038
films	0.102 55.376 1.266 0.044 0.212
loving	0.016 220.14 0.006 0.008 36.83
jarno	0.074 0.288 0.282 0.202 0.154
1243_2916	0.068 0.228 0.258 0.274 0.172
everywhere	72.272 0.198 64.692 32.048 3.79
scratcher	0.016 0.254 36.71 0.016 0.004
deserved	0.242 32.948 0.17 0.542 1.098
laguardia	0.068 0.718 0.044 0.016 2174.15
goodburger	6.964 69.834 0.102 0.064 0.036
rutherford	3.462 0.018 0.316 341.968 93.236
privy	0.08 0.242 0.302 0.22 0.156
printing	1.658 0.866 0.01 0.078 67.388
webster	0.072 0.27 439.652 0.006 0
interstate	0.186 0.052 65.592 13.28 212.89
20_1937	0.088 0.028 9.312 0.054 0.518
awesome	476.396 0.042 980.522 323.992 0.048
reqs	0.516 0.476 0.16 0.406 0.442
234	0.004 0.058 5.558 5.26 0.12
235	0.016 4.91 22.412 1.658 0.004
stole	0.166 36.97 0.336 0.092 0.436
